member_id,tier,is_tier_ambiguous,join_date_missing,days_since_last_txn,txn_count_lifetime,txn_count_last_90d,avg_days_between_txns,total_spend,avg_order_value,refund_count,refund_rate,spend_trend_90d,points_earned_gross,points_earned_adj,points_redeemed,points_balance,redemption_rate,days_since_last_redemption
M00064,Platinum,0,0,53.0,6,1,59.2,259.32,43.22,0,0.0,1.014,454.0,454.0,100,354.0,0.2203,53.0
M00065,Silver,0,0,4.0,7,2,24.666666666666668,366.13,52.30428571428571,0,0.0,0.2798,745.0,745.0,193,552.0,0.2591,24.0
M00066,Bronze,0,0,40.0,2,1,,146.19,73.095,0,0.0,,292.0,292.0,0,292.0,0.0,
M00067,Gold,0,0,96.0,5,0,232.25,230.62,57.655,1,0.2,0.0,617.0,418.0,0,418.0,0.0,
M00068,Bronze,0,0,31.0,4,1,244.0,295.51,73.8775,0,0.0,,518.0,518.0,0,518.0,0.0,
M00069,Gold,0,0,260.0,4,0,281.3333333333333,123.87,30.9675,0,0.0,,217.0,217.0,0,217.0,0.0,
M00070,Silver,0,0,1.0,4,2,95.66666666666667,107.39,35.79666666666667,1,0.25,,747.0,188.0,0,188.0,0.0,
M00071,Bronze,0,0,109.0,3,0,158.5,139.99,46.663333333333334,0,0.0,0.0,280.0,280.0,0,280.0,0.0,
M00072,Platinum,0,0,123.0,5,0,371.75,314.21000000000004,78.55250000000001,1,0.2,0.0,903.0,723.0,50,673.0,0.0692,1610.0
M00073,,1,0,700.0,7,0,123.66666666666667,270.78,38.68285714285714,0,0.0,,623.0,623.0,0,623.0,0.0,
M00074,Gold,0,0,529.0,3,0,109.5,209.62,69.87333333333333,0,0.0,,419.0,419.0,0,419.0,0.0,
M00075,Silver,0,0,22.0,2,1,,62.22,31.11,0,0.0,,143.0,143.0,0,143.0,0.0,
M00076,Gold,0,0,115.0,4,0,164.66666666666666,268.14,67.035,0,0.0,0.0,616.0,616.0,100,516.0,0.1623,115.0
M00077,Bronze,0,0,9.0,4,1,48.666666666666664,229.76,57.44,0,0.0,0.2545,402.0,402.0,0,402.0,0.0,
M00078,Bronze,0,0,169.0,4,0,434.3333333333333,185.02,46.255,0,0.0,0.0,425.0,425.0,0,425.0,0.0,
M00079,Gold,0,0,36.0,10,1,127.55555555555556,790.53,79.053,0,0.0,,1425.0,1425.0,106,1319.0,0.0744,492.0
M00080,Platinum,0,0,274.0,3,0,303.0,137.6,45.86666666666667,0,0.0,,317.0,317.0,0,317.0,0.0,
M00081,Bronze,0,0,885.0,4,0,130.66666666666666,251.09,62.7725,0,0.0,,577.0,577.0,200,377.0,0.3466,885.0
M00082,Bronze,0,0,636.0,5,0,215.25,549.6,109.92,0,0.0,,962.0,962.0,0,962.0,0.0,
M00083,Gold,0,0,9.0,9,6,16.875,528.0,58.666666666666664,0,0.0,1.1813,925.0,925.0,128,797.0,0.1384,52.0
M00084,Bronze,0,0,132.0,9,0,141.875,542.83,60.31444444444445,0,0.0,0.0,1070.0,1070.0,50,1020.0,0.0467,1066.0
M00085,Bronze,0,0,20.0,3,1,69.0,227.42000000000002,75.80666666666667,0,0.0,0.3848,467.0,467.0,50,417.0,0.1071,131.0
M00086,Bronze,0,0,105.0,6,0,190.8,343.88,57.31333333333333,0,0.0,0.0,602.0,602.0,49,553.0,0.0814,215.0
M00087,Platinum,0,0,607.0,2,0,,164.89999999999998,82.44999999999999,0,0.0,,379.0,379.0,0,379.0,0.0,
M00088,Silver,0,0,80.0,5,1,28.75,300.52,75.13,1,0.2,1.4816,695.0,526.0,0,526.0,0.0,
M00089,Bronze,0,0,772.0,3,0,54.0,124.3,41.43333333333333,0,0.0,,218.0,218.0,93,125.0,0.4266,870.0
M00090,Gold,0,0,679.0,4,0,360.3333333333333,188.77,47.1925,0,0.0,,377.0,377.0,0,377.0,0.0,
M00091,Gold,0,0,0.0,6,4,21.2,309.54,51.59,0,0.0,0.9977,606.0,606.0,0,606.0,0.0,
M00092,Silver,0,0,68.0,4,1,89.66666666666667,276.36,69.09,0,0.0,,484.0,484.0,135,349.0,0.2789,321.0
M00093,Gold,0,0,26.0,5,2,212.75,305.77,61.153999999999996,0,0.0,,560.0,560.0,0,560.0,0.0,
M00094,Platinum,0,0,499.0,4,0,244.66666666666666,321.15,80.2875,0,0.0,,563.0,563.0,50,513.0,0.0888,1041.0
M00095,Gold,0,0,255.0,6,0,143.6,398.0,79.6,1,0.1667,,869.0,810.0,0,810.0,0.0,
M00096,Silver,0,0,13.0,9,6,27.875,499.68,55.52,0,0.0,,903.0,903.0,161,742.0,0.1783,50.0
M00097,Gold,0,0,48.0,4,2,104.33333333333333,214.18,53.545,0,0.0,,422.0,422.0,100,322.0,0.237,60.0
M00098,Bronze,0,0,581.0,2,0,,62.96,31.48,0,0.0,,145.0,145.0,0,145.0,0.0,
M00099,Bronze,0,0,332.0,5,0,51.0,204.99,40.998000000000005,0,0.0,,419.0,419.0,42,377.0,0.1002,340.0
M00100,Silver,0,0,76.0,3,2,321.0,165.55,55.18333333333334,0,0.0,,331.0,331.0,0,331.0,0.0,
M00101,Bronze,0,0,319.0,3,0,179.5,188.60999999999999,62.87,0,0.0,,335.0,335.0,0,335.0,0.0,
M00102,Gold,0,0,82.0,4,1,109.66666666666667,399.91,99.9775,0,0.0,3.0865,800.0,800.0,250,550.0,0.3125,336.0
M00103,Bronze,0,0,792.0,2,0,,235.69,117.845,0,0.0,,471.0,471.0,0,471.0,0.0,
M00104,Silver,0,0,77.0,3,1,78.5,101.92,33.973333333333336,0,0.0,,202.0,202.0,0,202.0,0.0,
M00105,Gold,0,0,139.0,4,0,152.33333333333334,153.97,38.4925,0,0.0,0.0,270.0,270.0,50,220.0,0.1852,568.0
M00106,Gold,0,0,69.0,6,1,177.2,290.23,48.37166666666667,0,0.0,,662.0,662.0,200,462.0,0.3021,836.0
M00107,Silver,0,0,302.0,8,0,183.28571428571428,839.67,104.95875,0,0.0,,1842.0,1842.0,0,1842.0,0.0,
M00108,Bronze,0,0,27.0,2,1,,153.72,76.86,0,0.0,0.5563,299.0,299.0,0,299.0,0.0,
M00109,Bronze,0,0,261.0,7,0,198.66666666666666,359.05,51.292857142857144,0,0.0,,656.0,656.0,0,656.0,0.0,
M00110,Platinum,0,0,167.0,4,0,98.0,223.98,55.995,0,0.0,0.0,444.0,444.0,0,444.0,0.0,
M00111,Silver,0,0,182.0,3,0,163.5,259.54,86.51333333333334,0,0.0,,557.0,557.0,50,507.0,0.0898,486.0
M00112,Gold,0,0,97.0,5,0,159.5,283.94,56.788,0,0.0,0.0,567.0,567.0,100,467.0,0.1764,735.0
M00113,Silver,0,0,1.0,3,1,698.0,191.7,63.9,0,0.0,,383.0,383.0,50,333.0,0.1305,1.0
M00114,Silver,0,0,375.0,9,0,85.375,494.23,54.91444444444445,0,0.0,,1125.0,1125.0,267,858.0,0.2373,396.0
M00115,Silver,0,0,22.0,7,2,106.0,726.74,103.82000000000001,0,0.0,,1272.0,1272.0,80,1192.0,0.0629,80.0
M00116,Silver,0,0,312.0,2,0,,168.53,84.265,0,0.0,,388.0,388.0,0,388.0,0.0,
M00117,Gold,0,0,298.0,3,0,245.0,199.59,66.53,0,0.0,,349.0,349.0,0,349.0,0.0,
M00118,Bronze,0,0,394.0,3,0,361.0,130.05,43.35,0,0.0,,286.0,286.0,0,286.0,0.0,
M00119,Gold,0,0,1047.0,2,0,,148.86,74.43,0,0.0,,343.0,343.0,0,343.0,0.0,
M00120,Silver,0,0,22.0,5,2,79.75,280.76,56.152,0,0.0,1.6464,646.0,646.0,0,646.0,0.0,
M00121,Silver,0,0,572.0,1,0,,57.52,57.52,0,0.0,,132.0,132.0,0,132.0,0.0,
M00122,Gold,0,0,219.0,5,0,191.0,229.75,45.95,0,0.0,,520.0,520.0,0,520.0,0.0,
M00123,Bronze,0,0,0.0,7,6,21.166666666666668,643.04,91.86285714285714,0,0.0,5.0842,1286.0,1286.0,0,1286.0,0.0,
M00124,Bronze,0,0,60.0,9,2,73.875,538.82,59.8688888888889,0,0.0,,1055.0,1055.0,100,955.0,0.0948,363.0
M00125,Platinum,0,0,291.0,5,0,365.0,380.68,76.136,0,0.0,,762.0,762.0,0,762.0,0.0,
M00126,Gold,0,0,13.0,5,5,14.75,293.90999999999997,58.782,0,0.0,,578.0,578.0,76,502.0,0.1315,68.0
M00127,Bronze,0,0,48.0,3,1,228.0,305.36,101.78666666666668,0,0.0,,675.0,675.0,200,475.0,0.2963,228.0
M00128,Bronze,0,0,7.0,6,1,129.6,442.93,73.82166666666667,0,0.0,0.8177,750.0,750.0,0,750.0,0.0,
M00129,Bronze,0,0,572.0,2,0,,76.89,38.445,0,0.0,,163.0,163.0,67,96.0,0.411,743.0
M00130,Gold,0,0,295.0,5,0,259.25,335.8,67.16,0,0.0,,671.0,671.0,100,571.0,0.149,295.0
M00131,Gold,0,0,431.0,5,0,122.25,233.4,46.68,0,0.0,,461.0,461.0,205,256.0,0.4447,431.0
M00132,Bronze,0,0,77.0,3,1,29.0,195.78,65.26,0,0.0,0.3811,376.0,376.0,100,276.0,0.266,102.0
M00133,Gold,0,0,3.0,7,2,179.66666666666666,537.1700000000001,76.73857142857143,0,0.0,,1235.0,1235.0,300,935.0,0.2429,3.0
M00134,Gold,0,0,502.0,3,0,50.5,141.66,47.22,0,0.0,,326.0,326.0,0,326.0,0.0,
M00135,Silver,0,0,1223.0,1,0,,62.1,62.1,0,0.0,,143.0,143.0,0,143.0,0.0,
M00136,Bronze,0,0,18.0,9,2,143.75,440.79,48.97666666666667,0,0.0,0.8181,941.0,941.0,217,724.0,0.2306,163.0
M00137,Silver,0,0,204.0,5,0,179.25,463.54999999999995,115.88749999999999,1,0.2,,932.0,883.0,127,756.0,0.1438,921.0
M00138,Bronze,0,0,0.0,8,1,57.42857142857143,314.02,39.2525,0,0.0,1.1637,721.0,721.0,0,721.0,0.0,
M00139,Silver,0,0,32.0,6,1,203.2,884.3,147.38333333333333,0,0.0,,1557.0,1557.0,0,1557.0,0.0,
M00140,Bronze,0,0,237.0,5,0,192.25,249.82,49.964,0,0.0,,500.0,500.0,0,500.0,0.0,
M00141,Bronze,0,0,28.0,6,2,67.2,435.9,87.17999999999999,1,0.1667,,953.0,871.0,82,789.0,0.0941,83.0
M00142,Bronze,0,0,37.0,4,1,197.33333333333334,320.71,80.1775,0,0.0,0.403,641.0,641.0,0,641.0,0.0,
M00143,Bronze,0,0,34.0,5,1,182.25,336.08,67.216,0,0.0,,739.0,739.0,106,633.0,0.1434,763.0
M00144,Bronze,0,0,472.0,4,0,312.3333333333333,277.71,69.4275,0,0.0,,487.0,487.0,0,487.0,0.0,
M00145,Bronze,0,0,74.0,2,1,,118.28,59.14,0,0.0,2.4686,207.0,207.0,150,57.0,0.7246,74.0
M00146,Silver,0,0,244.0,3,0,231.5,151.91,50.63666666666666,0,0.0,,312.0,312.0,50,262.0,0.1603,345.0
M00147,Bronze,0,0,23.0,4,2,32.0,174.48,43.62,0,0.0,0.6253,315.0,315.0,0,315.0,0.0,
M00148,Gold,0,0,676.0,2,0,,76.98,38.49,0,0.0,,154.0,154.0,0,154.0,0.0,
M00149,Gold,0,0,381.0,4,0,331.3333333333333,278.22,69.555,0,0.0,,487.0,487.0,0,487.0,0.0,
M00150,Gold,0,0,9.0,6,3,79.2,403.07,67.17833333333333,0,0.0,3.9683,926.0,926.0,30,896.0,0.0324,9.0
M00151,Silver,0,0,106.0,7,0,102.5,436.11,62.30142857142857,0,0.0,0.0,872.0,872.0,0,872.0,0.0,
M00152,Gold,0,0,173.0,4,0,175.33333333333334,249.43,62.3575,0,0.0,0.0,574.0,574.0,0,574.0,0.0,
M00153,Bronze,0,0,534.0,2,0,,114.55,57.275,0,0.0,,263.0,263.0,0,263.0,0.0,
M00154,Platinum,0,0,75.0,6,1,189.0,338.90000000000003,56.48333333333334,0,0.0,,689.0,689.0,361,328.0,0.5239,728.0
M00155,Bronze,0,0,4.0,6,1,175.2,368.34000000000003,61.39000000000001,0,0.0,1.5356,816.0,816.0,201,615.0,0.2463,98.0
M00156,Silver,0,0,425.0,1,0,,27.5,27.5,0,0.0,,55.0,55.0,100,-45.0,1.8182,425.0
M00157,Gold,0,0,850.0,1,0,,77.43,77.43,0,0.0,,136.0,136.0,0,136.0,0.0,
M00158,Silver,0,1,93.0,6,0,211.2,622.28,103.71333333333332,0,0.0,0.0,1088.0,1088.0,50,1038.0,0.046,1149.0
M00159,Bronze,0,0,159.0,3,0,105.5,143.37,47.79,0,0.0,0.0,331.0,331.0,76,255.0,0.2296,212.0
M00160,Silver,0,0,5.0,5,5,19.0,248.17000000000002,49.634,0,0.0,,496.0,496.0,163,333.0,0.3286,5.0
M00161,Silver,0,0,65.0,4,1,547.6666666666666,286.28000000000003,71.57000000000001,0,0.0,,620.0,620.0,0,620.0,0.0,
M00162,Bronze,0,0,2.0,6,1,121.8,468.24,78.04,0,0.0,0.2206,855.0,855.0,54,801.0,0.0632,2.0
M00163,Gold,0,0,449.0,1,0,,28.12,28.12,0,0.0,,49.0,49.0,0,49.0,0.0,
M00164,Platinum,0,0,664.0,2,0,,147.92,73.96,0,0.0,,296.0,296.0,0,296.0,0.0,
M00165,Silver,0,0,254.0,4,0,294.0,289.31,72.3275,0,0.0,,513.0,513.0,151,362.0,0.2943,254.0
M00166,Gold,0,0,409.0,3,0,386.5,269.18,89.72666666666667,0,0.0,,578.0,578.0,0,578.0,0.0,
M00167,Gold,0,0,97.0,5,0,407.25,199.31,39.862,0,0.0,0.0,458.0,458.0,68,390.0,0.1485,1646.0
M00168,Bronze,0,0,163.0,6,0,202.8,352.36,58.72666666666667,0,0.0,0.0,705.0,705.0,132,573.0,0.1872,163.0
M00169,Silver,0,0,184.0,4,0,400.6666666666667,220.89,55.2225,0,0.0,,508.0,508.0,100,408.0,0.1969,400.0
M00170,Bronze,0,0,18.0,3,3,28.5,331.36,110.45333333333333,0,0.0,,663.0,663.0,0,663.0,0.0,
M00171,Gold,0,0,29.0,7,5,11.833333333333334,263.08,43.846666666666664,1,0.1429,7.3438,962.0,605.0,0,605.0,0.0,
M00172,Gold,0,0,151.0,1,0,,31.77,31.77,0,0.0,0.0,73.0,73.0,0,73.0,0.0,
M00173,Silver,0,0,153.0,7,0,16.666666666666668,307.75,43.964285714285715,0,0.0,0.0,557.0,557.0,50,507.0,0.0898,253.0
M00174,Silver,0,0,11.0,7,4,24.833333333333332,513.34,73.33428571428571,0,0.0,0.7631,974.0,974.0,150,824.0,0.154,35.0
M00175,Bronze,0,0,465.0,6,0,75.8,332.94,55.49,0,0.0,,667.0,667.0,0,667.0,0.0,
M00176,Gold,0,0,96.0,6,0,95.4,485.62,80.93666666666667,0,0.0,0.0,1117.0,1117.0,284,833.0,0.2543,96.0
M00177,Silver,0,0,648.0,4,0,203.66666666666666,256.61,64.1525,0,0.0,,513.0,513.0,74,439.0,0.1442,648.0
M00178,Bronze,0,0,26.0,5,2,40.0,286.11,57.222,0,0.0,1.7382,441.0,441.0,0,441.0,0.0,
M00179,Gold,0,0,687.0,3,0,376.5,155.43,51.81,0,0.0,,311.0,311.0,0,311.0,0.0,
M00180,Silver,0,0,22.0,7,1,268.1666666666667,360.49,51.49857142857143,0,0.0,,669.0,669.0,0,669.0,0.0,
M00181,Silver,0,0,30.0,4,1,150.33333333333334,181.45,45.3625,0,0.0,1.0319,418.0,418.0,0,418.0,0.0,
M00182,Gold,0,0,107.0,5,0,365.75,306.73,61.346000000000004,0,0.0,0.0,613.0,613.0,0,613.0,0.0,
M00183,Bronze,0,0,16.0,6,3,45.6,624.4200000000001,104.07000000000001,0,0.0,,1436.0,1436.0,450,986.0,0.3134,63.0
M00184,Gold,0,0,89.0,10,1,182.22222222222223,480.49,48.049,0,0.0,0.42,961.0,961.0,0,961.0,0.0,
M00185,Bronze,0,0,308.0,3,0,183.0,140.68,46.89333333333334,0,0.0,,315.0,315.0,0,315.0,0.0,
M00186,Gold,0,0,16.0,4,1,86.0,369.52,92.38,0,0.0,,738.0,738.0,0,738.0,0.0,
M00187,Silver,0,0,144.0,4,0,134.66666666666666,184.45,46.1125,0,0.0,0.0,413.0,413.0,0,413.0,0.0,
M00188,Silver,0,0,293.0,4,0,269.3333333333333,203.31,50.8275,0,0.0,,407.0,407.0,0,407.0,0.0,
M00189,Bronze,0,0,105.0,5,0,289.0,334.09,66.818,0,0.0,0.0,768.0,768.0,0,768.0,0.0,
M00190,Gold,0,0,97.0,3,0,786.5,208.6,69.53333333333333,0,0.0,0.0,417.0,417.0,54,363.0,0.1295,1670.0
M00191,Platinum,0,0,12.0,5,1,138.5,373.96000000000004,74.792,0,0.0,,860.0,860.0,0,860.0,0.0,
M00192,Gold,0,0,110.0,7,0,98.83333333333333,559.54,79.9342857142857,0,0.0,0.0,1288.0,1288.0,148,1140.0,0.1149,335.0
M00193,Gold,0,0,144.0,4,0,264.6666666666667,228.67000000000002,57.167500000000004,0,0.0,0.0,400.0,400.0,74,326.0,0.185,490.0
M00194,Silver,0,0,22.0,7,1,31.5,364.24,52.034285714285716,0,0.0,0.2772,838.0,838.0,0,838.0,0.0,
M00195,Gold,0,0,8.0,5,2,56.5,301.97,60.394000000000005,0,0.0,2.0351,649.0,649.0,145,504.0,0.2234,148.0
M00196,Silver,0,0,15.0,3,1,56.0,276.94,92.31333333333333,0,0.0,0.0803,485.0,485.0,150,335.0,0.3093,127.0
M00197,Silver,0,0,9.0,4,4,18.666666666666668,189.31,47.3275,0,0.0,,341.0,341.0,0,341.0,0.0,
M00198,Gold,0,0,519.0,3,0,72.0,187.25,62.416666666666664,0,0.0,,360.0,360.0,0,360.0,0.0,
M00199,Bronze,0,0,467.0,4,0,324.3333333333333,150.24,37.56,0,0.0,,335.0,335.0,130,205.0,0.3881,467.0
M00200,Bronze,0,0,61.0,6,3,13.6,237.46,39.57666666666667,0,0.0,0.5979,539.0,539.0,0,539.0,0.0,
M00201,Silver,0,0,25.0,4,1,90.33333333333333,148.60000000000002,37.150000000000006,0,0.0,,297.0,297.0,48,249.0,0.1616,296.0
M00202,Gold,0,0,681.0,2,0,,93.97,46.985,0,0.0,,164.0,164.0,0,164.0,0.0,
M00203,Silver,0,0,11.0,5,4,21.75,515.34,103.06800000000001,0,0.0,21.4451,1032.0,1032.0,0,1032.0,0.0,
M00204,Silver,0,0,547.0,4,0,281.0,173.03,43.2575,0,0.0,,366.0,366.0,100,266.0,0.2732,1390.0
M00205,Silver,0,0,197.0,8,0,176.42857142857142,422.02,52.7525,0,0.0,,844.0,844.0,97,747.0,0.1149,840.0
M00206,Bronze,0,0,159.0,8,0,227.0,585.54,73.1925,0,0.0,0.0,1044.0,1044.0,220,824.0,0.2107,1632.0
M00207,Bronze,0,0,72.0,5,1,113.25,363.63,72.726,0,0.0,1.013,679.0,679.0,50,629.0,0.0736,373.0
M00208,Platinum,0,0,507.0,6,0,268.4,370.22,74.04400000000001,1,0.1667,,686.0,648.0,191,457.0,0.2948,1036.0
M00209,Platinum,0,0,38.0,5,1,69.75,204.84,40.968,0,0.0,2.4378,471.0,471.0,60,411.0,0.1274,254.0
M00210,Bronze,0,0,1.0,4,2,419.6666666666667,364.89000000000004,91.22250000000001,0,0.0,,731.0,731.0,0,731.0,0.0,
